보증_고유키,상품설명
보증_82,"우대금리 수준은 확 높이고 우대금리 요건은 확 낮춘, 기업에게 필요한 부가서비스도 패키지로 함께 제공하는 비대면채널(기업인터넷뱅킹, i-ONE뱅크 기업) 전용 거치식예금 상품"
보증_83,"우대금리 수준은 확 높이고 우대금리 요건은 확 낮춘, 기업에게 필요한 부가서비스도 패키지로 함께 제공하는 비대면채널(기업인터넷뱅킹, i-ONE뱅크 기업) 전용 거치식예금 상품"
보증_84,칭찬스티커 개수에 따라 우대금리를 제공하는 적금형 입출금식통장
보증_85,"자유적립식 단리채 방식 중소기업금융채권으로, 1년이상 3년이하 월단위 가입가능하며 최저 1만원 이상 1만원 단위 가입 가능"
보증_86,IBK썸통장(입출금식) 보유고객이 일정조건 충족 시 다양한 우대혜택 제공
보증_87,"자금필요시기에 맞춰 최초 계약기간(6개월~1년)을 자유롭게 설정할 수 있고, 자동재예치와 중도인출을 통해 사업자의 Seed Money 마련 및 활용이 가능한 자유적립식 예금"
보증_88,스탬프 적립에 따라 우대금리를 제공하는 비대면전용 거치식예금 상품
보증_89,금 관련 제품 및 구리ㆍ철스크랩등의 부가가치세 매입자 납부제도 시행(조세특례제한법 제106조의4 및 제106조의9)에 따라 사업자간 관련 제품 거래 시 매매대금의 결제와 부가가치세 납부를 지원하는 계좌
보증_90,국가보훈처에서 지급하는 보훈급여금 등의 압류방지 전용통장
보증_91,KORIBOR(3개월물)에 연동하여 3개월 단위로 변동금리 적용 상품
보증_92,KORIBOR(3개월물)에 연동하여 3개월 단위로 변동금리 적용 상품
보증_93,KORIBOR(3개월물)에 연동하여 3개월 단위로 변동금리 적용 상품
보증_94,"기업고객을 대상으로 목적자금 마련을 도와주는 인터넷, 스마트폰 전용 적금상품으로 KORIBOR(3개월)에 연동하여 3개월마다 변동하여 금리가 적용되는 변동금리 상품"
보증_95,은행계좌 하나로 IBK투자증권의 주식매매가 가능한 입출식 계좌
보증_96,공무원연금법 등 관련 법령에 따라 수급자에게 지급된 공무원연금의 압류를 방지하는 공무원연금 전용통장
보증_97,나라사랑카드 발급대상 고객을 위한 전용통장
보증_98,주거래 이용실적(각종 이체실적 포함)등에 따라 우대금리 및 수수료 면제 혜택을 제공하는 입출식예금
보증_99,미소금융 및 채무조정 성실상환자를 위한 자산형성 상품
보증_100,"급여이체, 자동이체, 대출보유 등 당행 주거래 고객에게 금리우대"
보증_101,"급여이체, 자동이체, 대출보유 등 당행 주거래 고객에게 금리우대"
보증_102,"재예치 후 이체금액이 자동 증액되면 서비스 신청이 가능하고, 분할 인출 및 자동재예치가 최대 20회까지 가능한 자유적립식 상품"
보증_103,당행과 업무협약을 체결한 하도급시스템을 통하여 발주한 공사대금 및 임금이 하도급자와 근로자에게 기간 내 집행되도록 관리하는 전용결제통장
보증_104,"장애인, 기초생활수급자, 소년소녀가장, 북한이탈주민, 결혼이민자, 한부모 가족지원보호 대상자, 차상위계층 이하 만 65세 이상 가입가능한 우대금리, 특별중도해지 제공상품"
보증_105,해외송금 및 외화환전수수료 우대 등을 제공하는 외국인고객을 위한 전용상품
보증_106,"매월 원리금이 균등하게 분할 지급되고, 지급되는 원리금을 납입기간이 5년이고 보험기간이 10년 이상인 월납 저축성보험의 보험료로 납부하기 위한 정기예금"
보증_107,유치원 및 어린이집을 위한 전용상품
보증_108,"연금실적이 있는 경우 금리우대 및 수수료면제, 연금알리미서비스 등 다양한 혜택 제공"
보증_109,국민연금전용 압류방지통장
보증_110,군 복무 중인 직업군인을 위한 재테크 상품
보증_111,후원금을 조성하여 독도관련 사업을 후원하는 공익형 상품입니다.
보증_112,압류방지 전용통장
보증_113,후원금을 조성하여 독도관련 사업을 후원하는 공익형 상품입니다.
보증_114,고객님의 보다 자유로운 자금 운용을 위한 목돈마련 고수익 상호부금 상품입니다.
보증_115,이 상품은 매월 이자에 이자가 붙는 월복리 자유적립식 정기적금으로 계약기간별 자동이체 횟수에 따라 금리를 우대 하며 인터넷 대출 신청 시 매월 적금잔액 증가에 따라 담보대출 약정한도를 자동으로 증액해 드리는 적립식 예금입니다.
보증_116,회전주기마다 금리가 변동되는 거치식 상품입니다.
보증_117,기업고객님을 위한 목돈마련상품으로서 입출식거래나 카드이용 등에 따라 다양한 우대금리를 제공하는 상품입니다.
보증_118,기업고객님을 위한 목돈마련상품으로서 입출식거래나 카드이용 등에 따라 다양한 우대금리를 제공하는 상품입니다.
보증_119,실세금리를 반영한 정기예금 상품
보증_120,법인 및 개인사업자에게 예치금액에 따라 높은 이자를 드리는 상품입니다.
보증_121,할인식으로 발행되며 제3자에게 양도 가능한 예금증서(혹은 통장)입니다.
보증_122,당행이 할인하여 보유중인 상업어음과 무역어음을 근거로 당행을 발행인으로 하여 고객 앞으로 할인식으로 발행하는 약속어음
보증_123,법인 또는 사업자등록증을 소지한 개인사업자 대상의 입출금이 자유로운 대표적인 기업전용 통장
보증_124,매월 일정한 금액을 불입하여 목돈을 마련하는데 유리한 대표적인 적립식 상품입니다.
보증_125,"매월 일정금액을 일정일에 납입하면, 은행은 예금 만기일에 납입된 저축금에 이자를 더한 금액을 지급하는 목돈 마련용 상품입니다."
보증_126,소비(여유)자금을 일시적으로 보관하는 목적으로 개설하는 입출금이 자유로운 예금의 대표 상품
보증_127,목돈을 일정기간 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품입니다.
보증_128,가입대상에 제한이 없고 소비자금 또는 여유자금의 일시적으로 보관하는 목적으로 개설하는 입출금이 자유로운 예금의 대표적인 상품입니다.
보증_129,"첫거래고객우대정기예금,1백만원이상1천만원이하"
보증_130,해양환경보전사업및사회공헌사업을지원하는ESG법인정기예금(기금조성상품)
보증_131,조건없이개인이면누구나10만원이상10억원이내
보증_132,해양쓰레기저감활동을지원하는적립식예금
보증_133,해양쓰레기저감활동을지원하는정기예금
보증_134,"신용카드대금등자동이체횟수,수협쇼핑등이용실적등에따라우대금리를제공하는적립식예금"
보증_135,"신용카드대금등자동이체횟수,수협쇼핑등이용실적등에따라우대금리를제공하는적립식예금"
보증_136,"매월원금과이자가새로운원금이되는월복리로운용되는적금으로신규고객및요구불,카드이용고객에게우대금리를제공하고고객의경조사로중도해지시가입당시기본이율을적용하는스마트한재테크상품"
보증_137,가입자의특성및거래방법에따라우대금리를적용하는적립식예금
보증_138,"입금방법,가입기간을자유롭게선택할수있으며가입자의특성및거래방법에따라우대금리를적용하는적립식예금"
보증_139,"실세금리연동확정금리적용으로수익이높을뿐만아니라,특별금리까지드리는우수한상품"
보증_140,수시로자유롭게적립할수있고만기일도고객님이원하신날짜로자유롭게정할수있는상품으로일일적금으로활용이가능한정기예금과정기적금의기능을고루갖춘복합상품
보증_141,수협은행은지난96년부터독도연구및보전을위한공익상품을판매하여고객여러분의꾸준한관심속에서수협은행단독부담으로기금을마련하여독도연구보전협회에출연하고있음
보증_142,일반정기적금에비해이율이높아가계재테크에안성맞춤인상품
보증_143,18세이하고객을위한미성년자전용상품
보증_144,입출금통장첫거래고객우대및매일이자를받을수있는입출금통장
보증_145,"신규고객과만기재가입고객을위한쉬운금리우대조건,월50만원한도"
보증_146,Real2카드결제실적에따라우대금리를제공하는정액적립식예금
보증_147,가입이편리한입출금통장
보증_148,고객이지정하는금액에따라금리를제공하는고금리의입출금이자유로운예금
보증_149,수수료는면제받고여유자금은딴주머니에1천만원한도로딴주머니보관
보증_150,금리는우대받고여행은할인받고월30만원한도
보증_151,"직업군인,직업경찰및직업소방관맞춤형상품으로당행거래실적,친구추천등에따라우대금리를제공하는자유적립식예금"
보증_152,모든은행자동화기기현금인출수수료면제되는다기능수시입출금식통장상품
보증_153,어업인또는미래수산인을대상으로고금리를제공하는적립식예금
보증_154,해양환경보전사업및사회공헌사업을지원하는MMDA성ESG법인입출금통장
보증_155,해양환경보전사업및사업공헌사업을지원하는ESG법인입출금통장
보증_156,구직촉진수당등의수급권을보호하는구직촉진수당등전용압류방지통장
보증_157,주택연금수급권자의수급권을보호하는주택연금압류방지전용통장
보증_158,Sh수협은행경리나라자금관리시스템가입및4대사회보험료자동이체등의조건충족시수수료우대혜택을제공하는기업전용입출금이자유로운통장
보증_159,군인연금전용압류방지통장
보증_160,거래이용실적에따라수수료우대혜택을제공하는기업전용입출금이자유로운통장
보증_161,"정부,지방자치단체,공공기관,기업에서발주하는공사의공사대금및임금이하도급관리시스템을통해하도급자와근로자에게기간내집행될수있도록관리하는지급이체시스템전용통장"
보증_162,국방부등과업무협약에의해운영되는의무복무병의목돈마련을지원하는고금리적립식예금
보증_163,공공보증기관의보증서담보대출실행자금에한하여입금이가능한보증서담보대출입금전용통장
보증_164,"예치기간별또는잔액구간별로금리를다르게적용하여고금리를제공하는해양수산인전용입출금이자유로운예금으로,각종수수료우대서비스를제공"
보증_165,"수협은행입출식계좌의거래실적(급여,연금,공과금이체등)에따라최고연0.4%우대이자율적용자동으로최초계약기간과동일한기간으로세후원리금자동재예치로연복리혜택제공"
보증_166,"계약기간이1년이며매1년단위로100세까지계약기간이자동연장되는거치식,적립식,입출금이자유로운예금의장점이결합된자유적립식상품"
보증_167,어촌복지기금을조성하는공익성정기예금
보증_168,서민의목돈마련을돕기위한3년제적립식예금
보증_169,"하루만맡겨도이자지급이가능한시장금리부수시입출식예금으로개인사업자및법인거래처를대상으로하며,거래금액이많을수록금리를우대하는고금리유동성예금상품"
보증_170,성공사업을위한특별한제안복잡한조건없이매월이자지급에수수료우대혜택까지주어지는개인사업자를위한수시입출금예금
보증_171,공무원연금수급권자의수급권을보호하는공무원연금압류방지전용통장
보증_172,국민연금수급권자의기본적인연금수급권리를보호하기위한국민연금전용통장
보증_173,급여이체고객에게다양한수수료면제와금리우대혜택등고수익을보장해드리는입출금이자유로운직장인을위한맞춤상품
보증_174,도시와어촌간의교류를위한어촌사랑운동지원또는어촌의교육·문화사업및어업인복지증진사업의지원을위해수협은행단독부담으로예금연평균잔액의일정비율을어촌복지기금으로조성하는공익상품
보증_175,도시와어촌간의교류를위한어촌사랑운동지원또는어촌의교육·문화사업및어업인복지증진사업의지원을위해수협은행단독부담으로예금연평균잔액의일정비율을어촌복지기금으로조성하는공익상품
보증_176,매일의최종잔액에대하여시장금리를반영한높은이자를드리고입출금이자유로운중소기업및자영업고객우대상품
보증_177,수협은행과가계당좌거래계약을체결한거래처가상거래에서발생하는대금결제를위해발행한가계수표의지급자금출납사무를은행이대행하는수시입출식예금
보증_178,수협은행과당좌거래계약을체결한거래처가상거래에서발생하는대금결제를위해발행한어음수표의지급자금출납사무를은행이대행하는수시입출식예금
보증_179,퇴직연금가입기업및근로자를대상으로확정금리를제공하는원금과이자보장상품
보증_180,수협은행이할인하여보유중인상업어음또는무역어음을분할하거나통합하여수협은행을지급인으로하여새로발행하는약속어음으로중도해지는불가하지만배서에의해자유로이양도가능한예금
보증_181,다양한저축상품을1인당5천만원한도내에서완전비과세로거래하실수있고금융소득종합과세대상에서도제외되는절세형저축
보증_182,"일정한기간을정하여일정일에일정금액을납입하시면원금과약정된이자를지급하여드리며,만기가월단위로자유로와일정기간내에목돈을마련하시는데편리한대표적인적립식상품"
보증_183,여유자금을가장안전하게맡기고매월높은이자를받으실수있는예금
보증_184,실명의개인에한하여제한없이여러계좌를거래할수있는입출금이자유로운예금
보증_185,"어민들이민·형사상의사검으로억울한일을당하였으나경제적으로어렵거나법률적지식이없어스스로해결할수없을때무료상담,무료소송대행을위한기금을마련하기위해무료법률구조기금을조성하는어민돕기공익상품입니다.고객은어민을돕는마음으로가입만하시고기금은수협에서부담함"
보증_186,무기명할인식으로발행되며제3자에게자유롭게양도할수있고단기에높은수익률을받을수있는예금증서
보증_187,일정기간동안매월저축금을납입하시면만기일에계약하신금액을목돈으로받으실수있으며정기적금보다계약기간의선택폭이큰상품
보증_188,가입대상에제한없이일시적인여유자금보관목적또는수시사용자금의일시적인보관을목적으로개설하는입출금이자유로운예금의대표상품
보증_189,학생들에게는저축하는습관을길러주고세후이자의일정액을수협은행부담으로독도사랑海기금을조성및출연하여나라사랑에참여하는학생대상공익상품
보증_190,법인과개인사업자의일시적인여유자금보관목적을위한입출금이자유로운예금
보증_191,수수료 3종 면제 + 매주 드리는 이자혜택
보증_192,최소기간(3개월) 경과 시 중도해지해도 일정금리를 지급하는 정기예금
보증_193,퀴즈 풀수록 추가 우대금리 기회!
보증_194,이벤트 실시 등에 따른 추가 우대금리를 제공하는 정기예금
보증_195,"VIP고객, 예비VIP고객을 위한 특별한 혜택!"
보증_196,청년층의 중장기 자산형성을 위한 적금 상품
보증_197,법인 수수료 우대를 위한 법인 전용 입출금이 자유로운 예금
보증_198,처음 또는 오랜만에 예금이라면! 광주은행에서 굿스타트하세요~ 우대금리 0.4p
보증_199,"함께 모으고 함께 보는 모임자금, 자유롭게 적립하고 급할 땐 유연하게 일부해지(2회)"
보증_200,“맛에 취하다. 전남에 취하다.”
보증_201,광주은행이 전남 청년의 꿈을 응원합니다!
보증_202,적금금리는 기본! ㈜하나투어와의 제휴를 통한 우대서비스까지!
보증_203,상품서비스 안내 받거나 신규 예적금 거래 시 쏠쏠한 우대금리
보증_204,공직선거법에 의한 선거비용을 편리하게 관리 할 수 있도록 수수료를 면제하는 입출금이 자유로운 예금
보증_205,일상속에 저축은 시작되었다! 소액적립 특화상품!
보증_206,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금
보증_207,당행 주택연금 수급고객에게 연금보호전용통장& 각종 수수료면제서비스 제공!
보증_208,상거래의 안전과 편리를 위해 지급자금 출납사무를 은행이 대행하는 예금
보증_209,가계수표를 발행할 수 있는 개인 당좌예금으로 입출금이 자유로운 예금
보증_210,액티브 시니어 고객 맞춤형 통장
보증_211,액티브시니어고객 맞춤형 적금상품
보증_212,수수료3종 면제 혜택을 드려요#조건없이 제한없이
보증_213,＇내통장＇ 하나로 다양한 거래형태에 맞춘 수수료우대혜택 제공
보증_214,아동수당 수령 등 보육과 관련된 우대조건 충족 시 수수료면제서비스를 제공하는 입출금이 자유로운 예금
보증_215,아동·양육수당 수령 등 아동 양육에 관련된 조건 충족시 우대금리를 제공하는 적금상품
보증_216,군인연금수급자에 압류방지기능과 수수료우대서비스를 제공하는 통장
보증_217,법령에 따른 산업재해 보험급여를 수령하는 고객의 수급권을 보호하기 위한 압류방지기능을 지원하는 통장
보증_218,거래조건 충족시 우대금리를 드리는 Youth고객 전용 정기적금
보증_219,Youth고객님께 우대서비스를 제공하는 입출금통장
보증_220,"장병들의 금융지원을 위해 고금리, 국가 지원 1 이자지원금ㆍ매칭지원금 등 혜택을 드리는 적금상품"
보증_221,인터넷 또는 스마트폰으로 간단하게 가입하는 비대면 대표 정기적금
보증_222,인터넷 또는 스마트폰으로 간단하게 가입하는 비대면 대표 정기예금
보증_223,광주은행 주거래고객에게 거래실적에 따라 우대금리를 제공하는 정기적금
보증_224,거래형태에 따른 우대금리 또는 사회소외계층에 대한 우대금리를 제공하는 정기적금
보증_225,목표달성시 우대금리 드리는 자유적립적금#친구소개 #우대금리
보증_226,매월 일정한 금액을 저축하여 목돈을 마련하는 적립식 상품
보증_227,공공 보증기관의 보증서 담보대출을 받는 법인의 보증서대출 실행자금 입금전용계좌
보증_228,정기적으로 소정의 부금을 납입할 의무를 부담하는 적립식 상품
보증_229,"금 관련제품 및 구리,철스크랩등의 부가가치세매입자납부제도 시행에 따라 사업자간 매매대금 결제와 부가세납부를 하는 통장"
보증_230,수시 입출금이 가능한 대표적인 입출금이 자유로운 예금
보증_231,개인(개인사업자 포함)이 가입할 수 있는 입출금이 자유로운 예금
보증_232,예금이자를 미리 계산하여 할인식으로 발행되는 예금증서(등록필증)
보증_233,공무원연금수급고객에게 연금보호전용통장 & 각종 수수료면제서비스 제공!
보증_234,"“해외송금 자동처리하고 환율우대까지!"""
보증_235,정부계약하도급관리시스템을 통한공사대금 관리를 위한 기업통장!
보증_236,국민연금수급자의 연금에 통장압류금지 & 각종 수수료면제서비스 제공!
보증_237,"은행이 보유하고 있는 원어음을 분할, 통합하여 매입인 앞으로 새로이 발행한 약속어음"
보증_238,"여성의, 여성을 위한, 여성에 의한 정기예금"
보증_239,법령에 따른 압류금지 수급금에 대한 압류방지 기능 및 각종 수수료면제서비스를 지원하는 통장
보증_240,거래실적에 따라 아파트관련 우대금리를 제공하는 정기예금
보증_241,통장식CD(양도성예금증서)
보증_242,지방은행(광주/경남/대구/부산/전북/제주)어디에서나 입/출금이 가능한 통장
보증_243,거래금액에 따라 금리가 차등 적용되는 입출금이 자유로운 예금
보증_244,기업의 단기운전자금 운용에 적합한 수시 입출금 예금
보증_245,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 정기예금
보증_246,거래실적에 따라 다양한 수수료면제혜택을 드리는 사업자 전용통장
보증_247,시니어고객을 위한 맞춤형 정기예금상품
보증_248,"추가입금, 분할해지 등이 가능한 맞춤형 정기예금"
보증_249,회전주기에 맞춰 자금을 운용할 수 있는 정기예금상품
보증_250,거래금액에 따라 금리가 차등 적용되는 입출금이 자유로운 예금
보증_251,이자 먼저 받는 정기예금
보증_252,제주지역화폐(탐나는전) 이용하고 우대금리까지 제공되는 적금 상품
보증_253,제주의 가치인 김만덕 수눌음 정신을 발현해 낼 수 있는 자유적립식 적금 상품
보증_254,"-디지털 채널주)로만 가입 가능한 비대면 전용 정기예금 상품주) 인터넷뱅킹, 모바일뱅킹, 모바일웹뱅킹"
보증_255,MZ세대의 목적 자금 마련을 위한 자유적립식 적금 상품
보증_256,"생활비 이체 및 자동납부 거래자에게 필요한 각종 수수료 면제 혜택 및 수신금리·대출금리 우대, 외환수수료 우대 등을 제공하는 입출금이 자유로운 통장"
보증_257,"가맹점 대금 입금 거래자에게 필요한 각종 수수료 면제 혜택 및 수신금리·대출금리 우대, 외환수수료 우대 등을 제공하는 통장입니다."
보증_258,"연금 수급자 및 연금 자동납부 고객에게 필요한 각종 수수료 면제 혜택 및 수신금리·대출금리 우대, 외환수수료 우대 등을 제공하는 통장입니다."
보증_259,"직장인에게 꼭 필요한 각종 수수료 면제 혜택 및 수신금리·대출금리 우대, 외환수수료 우대 등을 제공하는 입출금이 자유로운 통장"
보증_260,쉽게 가입하고 편리하게 이용할 수 있는 전자금융 수수료 및 각종 수수료 면제 혜택을 제공하는 비대면 전용 통장
보증_261,국군재정관리단의 군인연금 수급계좌로 압류방지 전용계좌
보증_262,산업재해보험급여 수급자의 수급권을 보호하기 위한 압류 방지 통장
보증_263,"국군 장병으로 적금 신규일 기준으로 남은 의무복무기간이 6개월 이상이며 가입대상임을 증빙하는 ""장병내일준비적금 가입자격 확인서"" 원본제출한자에게 사회 진출시 학자금 및 취업 준비 등에 이용할 수 있는 목돈 마련하는데 적합한 적금 상품임."
